coachid,year,yr_order,firstname,lastname,season_win,season_loss,playoff_win,playoff_loss,team,Total seasons played,Ttoal playoff played,percentage season win,percentage playoff win,AVG,Less Greater,Total wins,Total Matches
RUSSEJO01 ,1946,1,John,Russell,22,38,0,0,BOS,60,0,36.66666667,#DIV/0!,#DIV/0!,#DIV/0!,22,60
CUNNIBI01 ,1982,1,Billy,Cunningham,65,17,12,1,PHI,82,13,79.26829268,92.30769231,85.7879925,1,77,95
DEHNEDU01 ,1946,1,Dutch,Dehnert,17,20,0,0,CL1,37,0,45.94594595,#DIV/0!,#DIV/0!,#DIV/0!,17,37
JACKSPH01 ,1995,1,Phil,Jackson,72,10,15,3,CHI,82,18,87.80487805,83.33333333,85.56910569,1,87,100
CURTIGL01 ,1946,1,Glenn,Curtis,12,22,0,0,DE1,34,0,35.29411765,#DIV/0!,#DIV/0!,#DIV/0!,12,34
SACHSPH01 ,1946,1,Philip,Sachs,8,18,0,0,DE1,26,0,30.76923077,#DIV/0!,#DIV/0!,#DIV/0!,8,26
COSTELA01 ,1970,1,Larry,Costello,66,16,12,2,MIL,82,14,80.48780488,85.71428571,83.1010453,1,78,96
DALYCH01  ,1988,1,Chuck,Daly,63,19,15,2,DET,82,17,76.82926829,88.23529412,82.53228121,1,78,99
BIRCHPA01 ,1946,1,Paul,Birch,15,45,0,0,PIT,60,0,25,#DIV/0!,#DIV/0!,#DIV/0!,15,60
MORRIRO01 ,1946,1,Robert,Morris,28,32,0,0,PRO,60,0,46.66666667,#DIV/0!,#DIV/0!,#DIV/0!,28,60
JONESKC01 ,1985,1,KC,Jones,67,15,15,3,BOS,82,18,81.70731707,83.33333333,82.5203252,1,82,100
FITZGDI01 ,1946,1,Dick,Fitzgerald,2,1,0,0,TO1,3,0,66.66666667,#DIV/0!,#DIV/0!,#DIV/0!,2,3
SADOWED01 ,1946,2,Ed,Sadowski,3,9,0,0,TO1,12,0,25,#DIV/0!,#DIV/0!,#DIV/0!,3,12
HAYMALE01 ,1946,3,Lew,Hayman,0,1,0,0,TO1,1,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0,1
ROLFERO01 ,1946,4,Robert,Rolfe,17,27,0,0,TO1,44,0,38.63636364,#DIV/0!,#DIV/0!,#DIV/0!,17,44
SHARMBI01 ,1971,1,Bill,Sharman,69,13,12,3,LAL,82,15,84.14634146,80,82.07317073,1,81,97
JACKSPH01 ,1996,1,Phil,Jackson,69,13,15,4,CHI,82,19,84.14634146,78.94736842,81.54685494,1,84,101
JACKSPH01 ,1990,1,Phil,Jackson,61,21,15,2,CHI,82,17,74.3902439,88.23529412,81.31276901,1,76,99
RILEYPA01 ,1986,1,Pat,Riley,65,17,15,3,LAL,82,18,79.26829268,83.33333333,81.30081301,1,80,100
POPOVGR01 ,1998,1,Gregg,Popovich,37,13,15,2,SAS,50,17,74,88.23529412,81.11764706,1,52,67
JACKSPH01 ,2000,1,Phil,Jackson,56,26,15,1,LAL,82,16,68.29268293,93.75,81.02134146,1,71,98
HICKENA01 ,1947,1,Nat,Hickey,4,25,0,0,PRO,29,0,13.79310345,#DIV/0!,#DIV/0!,#DIV/0!,4,29
SOARAL01  ,1947,2,Albert,Soar,2,17,0,0,PRO,19,0,10.52631579,#DIV/0!,#DIV/0!,#DIV/0!,2,19
KUNDLJO01 ,1949,1,John,Kundla,51,17,10,2,MIE,68,12,75,83.33333333,79.16666667,1,61,80
AUERBRE01 ,1947,1,Red,Auerbach,28,20,0,0,WSC,48,0,58.33333333,#DIV/0!,#DIV/0!,#DIV/0!,28,48
HANNUAL01 ,1966,1,Alex,Hannum,68,13,11,4,PHI,81,15,83.95061728,73.33333333,78.64197531,1,79,96
JULIAAL01 ,1948,1,Alvin,Julian,25,35,0,0,BOS,60,0,41.66666667,#DIV/0!,#DIV/0!,#DIV/0!,25,60
OLSENHA01 ,1948,1,Harold,Olsen,28,21,0,2,CH1,49,2,57.14285714,0,28.57142857,0,28,51
BROWNPH01 ,1948,2,Philip,Brownstein,10,1,0,0,CH1,11,0,90.90909091,#DIV/0!,#DIV/0!,#DIV/0!,10,11
BENNECA01 ,1948,1,Carl,Bennett,0,6,0,0,DET,6,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0,6
ARMSTPA01 ,1948,2,Paul,Armstrong,22,32,0,0,DET,54,0,40.74074074,#DIV/0!,#DIV/0!,#DIV/0!,22,54
HALEBR01  ,1948,1,Bruce,Hale,4,13,0,0,INJ,17,0,23.52941176,#DIV/0!,#DIV/0!,#DIV/0!,4,17
FRIDDBU01 ,1948,2,Burl,Friddle,14,29,0,0,INJ,43,0,32.55813953,#DIV/0!,#DIV/0!,#DIV/0!,14,43
RILEYPA01 ,1981,2,Pat,Riley,50,21,12,2,LAL,71,14,70.42253521,85.71428571,78.06841046,1,62,85
RILEYPA01 ,1984,1,Pat,Riley,62,20,15,4,LAL,82,19,75.6097561,78.94736842,77.27856226,1,77,101
GOTTLED01 ,1948,1,Eddie,Gottlieb,28,32,0,2,PH1,60,2,46.66666667,0,23.33333333,0,28,62
LOEFFKE01 ,1948,1,Ken,Loeffler,12,48,0,0,PRO,60,0,20,#DIV/0!,#DIV/0!,#DIV/0!,12,60
AUERBRE01 ,1963,1,Red,Auerbach,59,21,8,2,BOS,80,10,73.75,80,76.875,1,67,90
LEWISGR01 ,1948,1,Grady,Lewis,29,31,0,2,ST1,60,2,48.33333333,0,24.16666667,0,29,62
KUNDLJO01 ,1948,1,John,Kundla,44,16,8,2,MIE,60,10,73.33333333,80,76.66666667,1,52,70
SCHULHO01 ,1949,1,Howie,Schultz,21,14,0,0,AND,35,0,60,#DIV/0!,#DIV/0!,#DIV/0!,21,35
DUFFEIK01 ,1949,2,Ike,Duffey,1,2,0,0,AND,3,0,33.33333333,#DIV/0!,#DIV/0!,#DIV/0!,1,3
AUERBRE01 ,1960,1,Red,Auerbach,57,22,8,2,BOS,79,10,72.15189873,80,76.07594937,1,65,89
JEANNBU01 ,1949,1,Buddy,Jeannette,25,43,0,0,BA1,68,0,36.76470588,#DIV/0!,#DIV/0!,#DIV/0!,25,68
JULIAAL01 ,1949,1,Alvin,Julian,22,46,0,0,BOS,68,0,32.35294118,#DIV/0!,#DIV/0!,#DIV/0!,22,68
BROWNPH01 ,1949,1,Philip,Brownstein,40,28,0,3,CH1,68,3,58.82352941,0,29.41176471,0,40,71
JACKSPH01 ,1991,1,Phil,Jackson,67,15,15,7,CHI,82,22,81.70731707,68.18181818,74.94456763,1,82,104
DARDEJI01 ,1949,1,Jimmy,Darden,11,51,0,0,DN1,62,0,17.74193548,#DIV/0!,#DIV/0!,#DIV/0!,11,62
JACKSPH01 ,2001,1,Phil,Jackson,58,24,15,4,LAL,82,19,70.73170732,78.94736842,74.83953787,1,73,101
WESTHPA01 ,1979,2,Paul,Westhead,50,18,12,4,LAL,68,16,73.52941176,75,74.26470588,1,62,84
JACKSPH01 ,1992,1,Phil,Jackson,57,25,15,4,CHI,82,19,69.51219512,78.94736842,74.22978177,1,72,101
GOTTLED01 ,1949,1,Eddie,Gottlieb,26,42,0,2,PH1,68,2,38.23529412,0,19.11764706,0,26,70
HARRILE01 ,1949,1,Les,Harrison,51,17,0,2,ROC,68,2,75,0,37.5,0,51,70
JACKSPH01 ,1997,1,Phil,Jackson,62,20,15,6,CHI,82,21,75.6097561,71.42857143,73.51916376,1,77,103
LEWISGR01 ,1949,1,Grady,Lewis,26,42,0,0,ST1,68,0,38.23529412,#DIV/0!,#DIV/0!,#DIV/0!,26,68
DALYCH01  ,1989,1,Chuck,Daly,59,23,15,5,DET,82,20,71.95121951,75,73.47560976,1,74,102
JACKSPH01 ,1999,1,Phil,Jackson,67,15,15,8,LAL,82,23,81.70731707,65.2173913,73.46235419,1,82,105
POTTERO01 ,1949,2,Roger,Potter,1,6,0,0,TRI,7,0,14.28571429,#DIV/0!,#DIV/0!,#DIV/0!,1,7
SHIPPCH01 ,1949,1,Charley,Shipp,8,27,0,0,WAT,35,0,22.85714286,#DIV/0!,#DIV/0!,#DIV/0!,8,35
SMILEJA01 ,1949,2,Jack,Smiley,11,16,0,0,WAT,27,0,40.74074074,#DIV/0!,#DIV/0!,#DIV/0!,11,27
FEERIBO01 ,1949,1,Bob,Feerick,32,36,0,2,WSC,68,2,47.05882353,0,23.52941176,0,32,70
JEANNBU01 ,1950,1,Buddy,Jeannette,14,23,0,0,BA1,37,0,37.83783784,#DIV/0!,#DIV/0!,#DIV/0!,14,37
BUDKOWA01 ,1950,2,Walt,Budko,10,19,0,0,BA1,29,0,34.48275862,#DIV/0!,#DIV/0!,#DIV/0!,10,29
AUERBRE01 ,1950,1,Red,Auerbach,39,30,0,2,BOS,69,2,56.52173913,0,28.26086957,0,39,71
FITCHBI01 ,1980,1,Bill,Fitch,62,20,12,5,BOS,82,17,75.6097561,70.58823529,73.0989957,1,74,99
BARKECL01 ,1950,1,Cliff,Barker,24,32,0,0,INI,56,0,42.85714286,#DIV/0!,#DIV/0!,#DIV/0!,24,56
AUERBRE01 ,1958,1,Red,Auerbach,52,20,8,3,BOS,72,11,72.22222222,72.72727273,72.47474747,1,60,83
AUERBRE01 ,1964,1,Red,Auerbach,62,18,8,4,BOS,80,12,77.5,66.66666667,72.08333333,1,70,92
KUNDLJO01 ,1952,1,John,Kundla,48,22,9,3,MIE,70,12,68.57142857,75,71.78571429,1,57,82
GOTTLED01 ,1950,1,Eddie,Gottlieb,40,26,0,2,PH1,66,2,60.60606061,0,30.3030303,0,40,68
SLOANJE01 ,1996,1,Jerry,Sloan,64,18,13,7,UTA,82,20,78.04878049,65,71.52439024,1,77,102
RILEYPA01 ,1988,1,Pat,Riley,57,25,11,4,LAL,82,15,69.51219512,73.33333333,71.42276423,1,68,97
LOGANJO01 ,1950,1,John,Logan,2,1,0,0,TRI,3,0,66.66666667,#DIV/0!,#DIV/0!,#DIV/0!,2,3
TODORMI01 ,1950,1,Mike,Todorovich,14,28,0,0,TRI,42,0,33.33333333,#DIV/0!,#DIV/0!,#DIV/0!,14,42
MCMILDA01 ,1950,1,Dave,McMillan,9,14,0,0,TRI,23,0,39.13043478,#DIV/0!,#DIV/0!,#DIV/0!,9,23
MCKINHO01 ,1950,1,Horace,McKinney,10,25,0,0,WSC,35,0,28.57142857,#DIV/0!,#DIV/0!,#DIV/0!,10,35
SCOLAFR01 ,1951,1,Fred,Scolari,12,27,0,0,BA1,39,0,30.76923077,#DIV/0!,#DIV/0!,#DIV/0!,12,39
REISECH01 ,1951,2,Chuck,Reiser,8,19,0,0,BA1,27,0,29.62962963,#DIV/0!,#DIV/0!,#DIV/0!,8,27
JONESKC01 ,1983,1,KC,Jones,62,20,15,8,BOS,82,23,75.6097561,65.2173913,70.4135737,1,77,105
BIRCHPA01 ,1951,1,Paul,Birch,29,37,0,2,DET,66,2,43.93939394,0,21.96969697,0,29,68
SCHAEHE01 ,1951,1,Herm,Schaefer,34,32,0,2,INI,66,2,51.51515152,0,25.75757576,0,34,68
MOOREDO01 ,1951,1,Doxie,Moore,17,49,0,0,MI1,66,0,25.75757576,#DIV/0!,#DIV/0!,#DIV/0!,17,66
COSTELA01 ,1973,1,Larry,Costello,59,23,11,5,MIL,82,16,71.95121951,68.75,70.35060976,1,70,98
SLOANJE01 ,1997,1,Jerry,Sloan,62,20,13,7,UTA,82,20,75.6097561,65,70.30487805,1,75,102
AUERBRE01 ,1959,1,Red,Auerbach,59,16,8,5,BOS,75,13,78.66666667,61.53846154,70.1025641,1,67,88
HOLZMRE01 ,1972,1,Red,Holzman,57,25,12,5,NYK,82,17,69.51219512,70.58823529,70.05021521,1,69,99
KARLGE01  ,1995,1,George,Karl,64,18,13,8,SEA,82,21,78.04878049,61.9047619,69.9767712,1,77,103
REISECH01 ,1952,1,Chuck,Reiser,0,3,0,0,BA1,3,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0,3
BEECL01   ,1952,2,Clair,Bee,16,51,0,0,BA1,67,0,23.88059701,#DIV/0!,#DIV/0!,#DIV/0!,16,67
POPOVGR01 ,2002,1,Gregg,Popovich,60,22,16,8,SAS,82,24,73.17073171,66.66666667,69.91869919,1,76,106
JONESKC01 ,1984,1,KC,Jones,63,19,13,8,BOS,82,21,76.82926829,61.9047619,69.3670151,1,76,103
